text,content_type,id,meta,score,embedding,country
federative republic of brazil paris agreement nationally determined contribution ndc brasília march the government of the federative republic of brazil is pleased to communicate to the secretariat of the united nations framework convention on climate change unfccc its nationally determined contribution ndc updated in the context of the glasgow climate pact which was adopted by the parties to the unfccc and its paris agreement during the th conference of the parties through this communication brazil confirms its commitment to reduce its greenhouse gas emissions in by compared with additionally brazil commits to reduce its emissions in by compared with brazil s commitments also include a longterm objective to achieve climate neutrality by,text,986c33e39b7ad3e80d26bb72742c73d6,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 0}",,,Updated - First NDC - FINAL - PDF.docx
brazil s updated ndc is broad in scope and includes a consideration of means of implementation and the implementation of mitigation and adaptation actions in all economic sectors this contribution is communicated under the assumption that the implementation of the paris agreement fully respects the principles and provisions of the unfccc in particular the principle of common but differentiated responsibilities and respective capabilities as a developing country brazil s historical contribution to the global problem of climate change has been small this ndc therefore largely exceeds the level of ambition expected of a country with a small historical responsibility for the increase in the global mean surface temperature resulting from anthropogenic greenhouse gas emissions,text,76065630447e731a0abdb92a88f14ea2,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 1}",,,Updated - First NDC - FINAL - PDF.docx
annex information to facilitate clarity transparency and understanding of brazil s ndc quantifiable information on the reference point including as appropriate a base year reference years base years reference periods or other starting points the reference year for brazil s ndc is quantifiable information on the reference indicators their values in the reference years base years reference periods or other starting points and as applicable in the target year the quantification of the reference indicator is based on the total net emissions of greenhouse gases ghg in the reference year of reported in the national inventory of anthropogenic emissions by sources and removals by sinks of greenhouse gases not controlled by the montreal protocol,text,7165ebf036a1aa030c7d5ce64244c15b,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 2}",,,Updated - First NDC - FINAL - PDF.docx
brazil will adopt the latest national inventory report available and submitted to the unfccc by the time of the assessment of the results of the ndc for strategies plans and actions referred to in article paragraph of the paris agreement or polices and measures as components of nationally determined contributions where paragraph b above is not applicable parties to provide other relevant information not applicable target relative to the reference indicator expressed numerically for example in percentage or amount of reduction to reduce greenhouse gas emissions by below levels in and by below levels in,text,ac64b0d84efa5f32553ac705532ba503,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 3}",,,Updated - First NDC - FINAL - PDF.docx
information on sources of data used in quantifying the reference points national inventory of anthropogenic emissions by sources and removals by sinks of greenhouse gases not controlled by the montreal protocol information on the circumstances under which the party may update the values of the reference indicators information on emissions in and reference values may be updated and recalculated due to methodological improvements applicable to the inventories time frames andor periods for implementation time frame andor period for implementation including start and end date consistent with any further relevant decision adopted by the conference of the parties serving as the meeting of the parties to the paris agreement cma net emissions from to compared with net emissions from to,text,d93c9fc0d4b66988120244c50593d662,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 4}",,,Updated - First NDC - FINAL - PDF.docx
net emissions from to compared with net emissions from to whether it is a singleyear or multiyear target as applicable singleyear targets in and scope and coverage general description of the target economywide absolute targets consistent with the sectors present in the national inventory of greenhouse gas emissions for and always compared with the targets will be translated into policies and measures to be detailed and implemented by the brazilian federal government sectors gases categories and pools covered by the nationally determined contribution including as applicable consistent with inter governmental panel on climate change ipcc guidelines co ch n o sf perfluorocarbons pfcs and hydrofluorocarbons hfcs,text,f4192996eea8b1b3d7955372b5815946,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 5}",,,Updated - First NDC - FINAL - PDF.docx
how the party has taken into consideration paragraph c and d of decision cp the same gases previously indicated in the indc have been kept mitigation cobenefits resulting from parties adaptation actions andor economic diversification plans including description of specific projects measures and initiatives of parties adaptation actions andor economic diversification plans as a developing country brazil faces the challenge of contributing to the global efforts to mitigate emissions according to the principle of common but differentiated responsibilities and at the same time implement adaptation actions to cope with the impacts of climate change in its territory,text,ecbf8a1825265edc67e394a357c8c9f3,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 6}",,,Updated - First NDC - FINAL - PDF.docx
according to the working group i contribution to the sixth assessment report of the ipcc published in august parts of south america including the brazilian territory will experience an increase in temperature that is above the global average which will lead to the worsening of agricultural and ecological droughts and to the increase in the frequency of extreme climate events the ipcc findings are aligned with studies also carried out in brazil and reported in its th national communication to the unfccc which states that brazil s climate is changing especially the frequency of extreme precipitation events that occur with greater intensity just like the variability of temperatures and precipitation also seem to suffer important changes,text,783a824d994caeffb6b4e40378471545,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 7}",,,Updated - First NDC - FINAL - PDF.docx
adaptation actions implemented in the context of this ndc will aim at reducing vulnerability in terms of water energy food social and environmental security thus potentially generating synergies with the implementation of the agenda and enhancing social and productive benefits based on the second cycle of the national adaptation plan nap adaptation measures in brazil will aim at strengthening the management of water resources the diversification of energy sources the development of adaptation strategies in the agricultural sector with a view to ensuring food security as well as adaptation plans for the urban landscape in brazil to ensure the resilience of the population and infrastructure,text,87727313fe09b33ffe8f651608b87c50,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 8}",,,Updated - First NDC - FINAL - PDF.docx
adaptation policies will be based on the best available science regarding climate change and national circumstances the adaptabrasil system developed by the ministry of science technology and innovation mcti to consolidate and provide information to better understand the impacts of climate change in brazil including impacts projected into the future is the scientific basis upon which national policies will be developed the tool is maintained through the cooperative efforts of the mcti the national institute of space research inpe and the national network for research and teaching rnp,text,3a502ab088e2c33f7ce088babee719a,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 9}",,,Updated - First NDC - FINAL - PDF.docx
to complement the national efforts on adaptation the federal government will also support subnational entities in their planning efforts by promoting scientific knowledge of adaptation to climate change and mainstreaming the subject into sectoral plans as well as incorporating resilience criteria into policies and strategic plans,text,c674f7e51ab2bf455223a072db8a8548,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 10}",,,Updated - First NDC - FINAL - PDF.docx
planning processes a information on the planning processes that the party undertook to prepare its nationally determined contribution and if available on the party s implementation plans including as appropriate domestic institutional arrangements public participation and engagement with local communities and indigenous peoples in a genderresponsive manner at the governmental level the interministerial committee on climate change and green growth instituted by decree of october sets the institutional framework for the elaboration and implementation of public policies on climate change the institutional dialogue between the brazilian government and civil society takes place through the brazilian forum on climate change instituted by decree of june,text,1c02e00c11df88659555346c4fd63d4f,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 11}",,,Updated - First NDC - FINAL - PDF.docx
the forum aims at raising awareness and mobilize society and to contribute to the discussion of actions needed to deal with global climate change in accordance with the national policy on climate change the united nations framework convention on climate change and its resulting international agreements including the paris agreement and brazil s nationally determined contributions articles and of the brazilian constitution establish ample rights and guarantees for all brazilian citizens paying due attention to the special needs of women and indigenous peoples brazil is also a party to the ilo convention on indigenous and tribal peoples contextual matters including inter alia as appropriate a,text,fe83025598eb393f756be7a5dc2c6639,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 12}",,,Updated - First NDC - FINAL - PDF.docx
national circumstances such as geography climate economy sustainable development and poverty eradication with a territory of over million square kilometers brazil has equatorial tropical and subtropical climates with rainfall levels that range from mm to mm per year as well as six biomes namely the cerrado savannah the amazon equatorial rainforest the caatinga semiarid the atlantic forest tropical rainforest the pantanal seasonal wetlands and the pampa subtropical grasslands all of the six brazilian biomes will suffer from the negative impacts of climate change which will require the federal government to consider specific policies and measures to address their particularities when implementing this ndc,text,4f1ca78a0fa556207faec8ef03f57075,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 13}",,,Updated - First NDC - FINAL - PDF.docx
brazil has also signed all major multilateral environmental treaties and has enacted a wide range of laws and public policies regarding sustainable development it has also worked to implement policies aimed at fighting poverty and reducing vulnerabilities in areas such as health education social security and minimum income brazil currently ranks th among countries in the latest united nations human development index ranking brazilian figures regarding social development point to the need to ensure economic growth while promoting improvements in the life standards of its population in the brazilian population was million and national authorities project positive growth rates until when the country s population might reach million,text,de591b3b57a06b00146aa45c71cb6ed7,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 14}",,,Updated - First NDC - FINAL - PDF.docx
approximately of the brazilian population lives in urban areas hence the urgent need for the government to implement specific policies and measures to ensure adequate conditions of sanitation and subsistence such concerns must be part of the implementation efforts of this ndc the agricultural sector plays a key role in the brazilian economy and its pursuit of sustainable development an increase in the global temperature interferes with the water levels and rainfall patterns in the different biomes which in turn has the potential to harm the current levels of productivity and employment therefore the brazilian government considers it to be of the utmost importance to implement adaptation actions in this sector to tackle the perverse effects of climate change,text,3ee924f3348518a3f02cc1b6fa3d293,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 15}",,,Updated - First NDC - FINAL - PDF.docx
the brazilian electric sector is among those with the highest share of renewable sources in its mix which is largely due to the employment of hydropower the negative impacts of climate change including droughts and decreases in water levels are taken into account by the federal government in the process of planning for mitigation and action to tackle climate change in the country best practices and experience related to the preparation of the nationally determined contribution the current brazilian ndc is the result of experience gained and lessons learned from the intended nationally determined contribution indc submitted to the united nations framework on climate change in and the updated ndc of december,text,c1b593e0f350d3ad2ed8747bab09dbbb,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 16}",,,Updated - First NDC - FINAL - PDF.docx
other contextual aspirations and priorities acknowledged when joining the paris agreement specific information applicable to parties including regional economic integration organizations and their member states that have reached an agreement to act jointly under article paragraph of the paris agreement including the parties that agreed to act jointly and the terms of the agreement in accordance with article paragraphs of the paris agreement not applicable how the party s preparation of its nationally determined contribution has been informed by the outcomes of the global stock take in accordance with article paragraph of the paris agreement not applicable not applicable,text,b1027ddd7f35aeb51fab4d6406e29166,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 17}",,,Updated - First NDC - FINAL - PDF.docx
d each party with a nationally determined contribution under article of the paris agreement that consists of adaptation action andor economic diversification plans resulting in mitigation cobenefits consistent with article paragraph of the paris agreement to submit information on how the economic and social consequences of response measures have been considered in developing the nationally determined contribution not applicable,text,7956e599ed435e7e725441426b56acff,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 18}",,,Updated - First NDC - FINAL - PDF.docx
specific projects measures and activities to be implemented to contribute to mitigation cobenefits including information on adaptation plans that also yield mitigation cobenefits which may cover but are not limited to key sectors such as energy resources water resources coastal resources human settlements and urban planning agriculture and forestry and economic diversification actions which may cover but are not limited to sectors such as manufacturing and industry energy and mining transport and communication construction tourism real estate agriculture and fisheries the need to plan for adaptation to the effects of climate change has motivated brazil to elaborate its national adaptation plan nap in with the aim of promoting the reduction and management of climate risks considering the effects of climate change by taking full advantage of emerging opportunities avoiding losses and damages and building instruments to prepare natural human productive and infrastructure systems to adapt to climate change,text,c4728a5ac4d8f2c171fad4680bf8b7c7,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 19}",,,Updated - First NDC - FINAL - PDF.docx
the nap involves fouryear cycles for its implementation and a review exercise in the last year of each cycle the first implementation period lasted from to the nap includes types of policies plans and programs of the federal government for different sectors with a view to broadening the coherence efficiency and synergies of adaptation strategies among public policies and in light of the sustainable development goals sdgs the first implementation period reached its goal to improve existing knowledge regarding the reduction and management of climate risks by taking full advantage of emerging opportunities avoiding losses and damages and building instruments to prepare natural human productive and infrastructure systems to adapt to climate change,text,37da4140a5572ba7addd1ff6f69f241f,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 20}",,,Updated - First NDC - FINAL - PDF.docx
the second cycle will contribute to the implementation strategy of the brazilian ndc by the federal government assumptions and methodological approaches including those for estimating and accounting for anthropogenic greenhouse gas emissions and as appropriate removals assumptions and methodological approaches used for accounting for anthropogenic greenhouse gas emissions and removals corresponding to the party s nationally determined contribution consistent with decision cp paragraph and accounting guidance adopted by the cma brazil will update its national inventories for the historical series based on the ipcc guidelines or any subsequent guidelines that may come to replace them,text,411da3e34cf74c02af45114e3609a5b1,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 21}",,,Updated - First NDC - FINAL - PDF.docx
assumptions and methodological approaches used for accounting for the implementation of policies and measures or strategies in the nationally determined contribution brazil will also apply specific assumptions and methodologies when appropriate when assessing progress made under the policies and measures related to the implementation of its ndc in its biennial transparency reports btrs if applicable information on how the party will take into account existing methods and guidance under the convention to account for anthropogenic emissions and removals in accordance with article paragraph of the paris agreement as appropriate see a above,text,f3bc2d1aa3d5df5ca7f5d8da17805f69,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 22}",,,Updated - First NDC - FINAL - PDF.docx
ipcc methodologies and metrics used for estimating anthropogenic greenhouse gas emissions and removals emissions of gases covered by brazil s ndc will be calculated based on the ipcc guidelines the methodological tier to be employed will depend on the availability of data in the different sectors brazil will make an effort to apply at least tier methodologies for the key categories identified emissions of the covered gases will be aggregated in terms of the year timehorizon global warming potential gwp on the basis of the values stipulated in the ipcc fifth assessment report or year timehorizon global warming potential values subsequently determined by the ipcc as agreed by the cma,text,6ef9957e06c714ea3610dd8327c687ec,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 23}",,,Updated - First NDC - FINAL - PDF.docx
consistent with decision cma brazil will also continue to employ the global temperature potential gtp which is a more accurate metric for assessing the contribution of different gases to climate change sector category or activityspecific assumptions methodologies and approaches consistent with ipcc guidance as appropriate including as applicable approach to addressing emissions and subsequent removals from natural disturbances on managed lands this approach will still be defined and subsequently informed approach used to account for emissions and removals from harvested wood products brazil will use the production approach consistent with the ipcc guidelines approach used to address the effects of ageclass structure in forests this approach will still be defined and subsequently informed,text,2efcd4702d5572391d3cee9673700754,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 24}",,,Updated - First NDC - FINAL - PDF.docx
other assumptions and methodological approaches used for understanding the nationally determined contribution and if applicable estimating corresponding emissions and removals including how the reference indicators baselines andor reference levels including where applicable sector category or activityspecific reference levels are constructed including for example key parameters assumptions definitions methodologies data sources and models used brazil has not used any other assumptions or methodological approaches for parties with nationally determined contributions that contain nongreenhousegas components information on assumptions and methodological approaches used in relation to those components as applicable not applicable for climate forcers included in nationally determined contributions not covered by ipcc guidelines information on how the climate forcers are estimated not applicable further technical information as necessary not applicable,text,a9ff2f42d9bcf82e4cdb41f49779fe60,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 25}",,,Updated - First NDC - FINAL - PDF.docx
the intention to use voluntary cooperation under article of the paris agreement if applicable brazil will strive to achieve its ndc through domestic measures to be coordinated and implemented by the federal government the brazilian government does not rule out the use of internationally transferred mitigation outcomes itmos as defined in article of the paris agreement to complement national efforts in the achievement of the brazilian ndc brazil can also consider the possibility of transferring international mitigation outcomes generated within the national territory,text,352811146485f07c3361ce8edb66df03,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 26}",,,Updated - First NDC - FINAL - PDF.docx
any international transfers of mitigation outcomes obtained within the brazilian territory will be subject to prior and formal consent by the federal government in accordance with the terms and conditions including legislation to be nationally developed to that end how the party considers that its nationally determined contribution is fair and ambitious in the light of its national circumstances a how the party considers that its nationally determined contribution is fair and ambitious in the light of its national circumstances brazil is a developing country and as such struggles with challenges associated with poverty eradication the need to improve its development indexes in areas that include education public health employment rates housing and social inclusion,text,8881866132e69cbde7feaf43a2a2e3fc,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 27}",,,Updated - First NDC - FINAL - PDF.docx
in spite of its challenges brazil has contributed greatly with the global efforts to mitigate greenhouse gas emissions thus proving that it is possible to decouple economic growth and emissions in the pre period the brazilian government has voluntarily committed to implementing sectoral initiatives that taken together could reduce the projection of brazilian emissions by in in most of these sectors brazil has exceeded its expectations having substantially increased the share of renewable sources in its energy mix and almost doubled the restored area of degraded lands in spite of current challenges and progress achieved so far the brazilian government also worked to update its ndc in december with a view to raise its level of ambition,text,65c2e42fc9cd2bc5868966872161de82,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 28}",,,Updated - First NDC - FINAL - PDF.docx
in light of the agreement embodied in the glasgow climate pact brazil has now once again updated its ndc to further increase its levels of ambition the brazilian ndc is one of the most ambitious in the world besides its targets brazil is one of the few countries that adopted a commitment for as well as which will provide for a better monitoring of the mitigation efforts throughout the decade brazil therefore understands that it is making an important contribution to international efforts to combat climate change in both absolute and relative terms currently of the brazilian territory is covered by protected areas such as conservation units and indigenous lands,text,b27b4504fad1af640571fd6d8b590866,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 29}",,,Updated - First NDC - FINAL - PDF.docx
brazilian environmental laws are among the most advanced in the world given that they require landowners to preserve of their lands and that they establish additional protective measures for fragile ecosystems together with the protected areas established under the brazilian forest code approximately of the brazilian territory is under some kind of protection despite this the brazilian government has chosen to go even beyond already existing laws and policies and commit to eliminating illegal deforestation by,text,dbf84fb9ff10e873181d3f3b5c71f124,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 30}",,,Updated - First NDC - FINAL - PDF.docx
still regarding the land use sector the low carbon agriculture plan abc plan has already channeled r billion to implement a vast range of mitigation measures which include recovering degraded lands projects of nitrogen fixation increased accumulation of organic matter carbon in the soil notill farming the integration of forest crops and cattle breeding agroforestry and forest planting by the abc plan had exceeded its goals by and is to be continued from to through the sectoral adaptation plan for a low carbon agriculture for sustainable development plan abc it is a key policy among brazilian sectoral efforts to tackle climate change brazil has one of the cleanest energy mixes in the world,text,77717eb4696c20b89cd06935871b5a89,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 31}",,,Updated - First NDC - FINAL - PDF.docx
in renewable sources accounted for of the total demand for energy three times the world average in the electricity demand mix the share of renewables accounted for as for the transport mix it represents of the sources the production of biofuels for the transport sector has substantially increased due to renovabio which uses market incentives to promote the decarbonisation of the sector and to incentivize these kinds of fuels,text,8909df5147a167f122623b5d0856be79,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 32}",,,Updated - First NDC - FINAL - PDF.docx
the use of hydropower to generate electricity accounts for of the national installed capacity and has proven to be the best available technology to compensate for the intermittency and seasonality that affect other sources of renewable sources such as wind and solar energy as well as biomass brazil has also made significant investments nonetheless in solar and wind energy and biomass which already account for of the country s energy mix and are experiencing rapid growth regarding the issue of means of implementation the brazilian ndc remains unconditional fairness considerations including reflecting on equity most of the current concentration of greenhouse gases in the atmosphere is a result of emissions that have taken place since the industrial revolution the post period,text,afbb25521d87b1710e6fd518ce5cdcfe,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 33}",,,Updated - First NDC - FINAL - PDF.docx
current generations are bearing the costs of past interference with the global climate system resulting from human activities and consequent greenhouse gas emissions primarily by developed countries during the last two and a half centuries in order to build a fair global response to climate change it is therefore of central importance to establish a connection between cause anthropogenic emissions and effect temperature increase and climate change the average increase in the global temperature due to anthropogenic emissions is an objective criterion to measure climate change serving the purpose of establishing upper limits to prevent dangerous anthropogenic interference with the global climate system,text,75208ea531e796bfe8facc99bb1d0c69,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 34}",,,Updated - First NDC - FINAL - PDF.docx
the relative contribution of any individual actor to global climate change can be determined using the average increase in the global temperature as an indicator the contribution of each individual actor to temperature increases should take into account differences in terms of starting points population approaches economic structures natural resources the need to maintain sustainable economic growth available technologies and other individual circumstances the reconstruction of the historical series of net anthropogenic emissions allows for the estimation of the relative share of the temperature increase attributable to each individual country including in per capita terms,text,8961bab435ed62bbda76fc859af35ed7,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 35}",,,Updated - First NDC - FINAL - PDF.docx
the relative responsibility of a given country in relation to the average increase in the global temperature can be estimated with a high level of confidence hence the marginal relative contribution to the global average surface temperature increase is a relevant measure for evaluating the level of each party s responsibility in the collective effort to holding the increase in the global average temperature to well below c above preindustrial levels and pursuing efforts to limit the temperature increase to c above preindustrial levels in accordance with article a of the paris agreement,text,2f6e0f5e7e85f16dceb0afbbb8d1aa24,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 36}",,,Updated - First NDC - FINAL - PDF.docx
how the party has addressed article paragraph of the paris agreement the target of reducing emissions by between and represents an increase of percentage points compared to the previous target of reducing emissions by between and the current target is also consistent with a longterm objective of reaching climate neutrality by how the party has addressed article paragraph of the paris agreement despite being a developing country brazil has already adopted an absolute economywide target since it presented its indc how the party has addressed article paragraph of the paris agreement not applicable,text,1815986a27d506b6538c1347b34c20c8,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 37}",,,Updated - First NDC - FINAL - PDF.docx
how the nationally determined contribution contributes towards achieving the objective of the convention as set out in its article how the nationally determined contribution contributes towards achieving the objective of the convention as set out in its article by presenting one of the most ambitious ndcs in the world brazil understands it is significantly contributing to the stabilization of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system consistent with article of the unfccc,text,2e27968103d6f54e7e43e1dd38c11006,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 38}",,,Updated - First NDC - FINAL - PDF.docx
by the same token brazil believes to be contributing to the collective effort to hold the increase in the global average temperature to well below c above preindustrial levels and pursuing efforts to limit the temperature increase to c above preindustrial levels consistent with article a of the paris agreement how the nationally determined contribution contributes towards article paragraph a and article paragraph of the paris agreement as per article of the paris agreement brazil presents a sizeable emission reduction target which largely exceeds any goals related to peaking emissions brazil s ndc is compatible with a longterm objective of achieving carbon neutrality in,text,cb2287fc56eeea799c3f41663466b929,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 39}",,,Updated - First NDC - FINAL - PDF.docx
